fbus;tbus;r;x;b;rateA;rateB;rateC;ratio;angle;status;angmin;angmax
1833;1;0.002607;0.017462;0.0324;540.0;540.0;540.0;1.0;0.0;1;-30.0;30.0
29;2;2.1e-5;0.000125;0.1386;737.0;737.0;737.0;1.0;0.0;1;-30.0;30.0
675;2;0.000145;0.001877;0.0635;2487.0;2487.0;2487.0;1.0;0.0;1;-30.0;30.0
1271;2;0.000319;0.003234;0.0838;1841.0;1841.0;1841.0;1.0;0.0;1;-30.0;30.0
30;2;2.1e-5;0.000125;0.1386;737.0;737.0;737.0;1.0;0.0;1;-30.0;30.0
142;3;0.006163;0.041067;0.0759;446.0;446.0;446.0;1.0;0.0;1;-30.0;30.0
677;3;0.000652;0.004369;0.0081;558.0;558.0;558.0;1.0;0.0;1;-30.0;30.0
1048;4;0.009733;0.034089;0.0185;905.0;905.0;905.0;1.0;0.0;1;-30.0;30.0
101;5;0.000277;0.002015;0.003;288.0;288.0;288.0;1.0;0.0;1;-30.0;30.0
286;6;0.00881;0.033995;0.0607;289.0;289.0;289.0;1.0;0.0;1;-30.0;30.0
329;6;0.004642;0.019832;0.0354;255.0;255.0;255.0;1.0;0.0;1;-30.0;30.0
737;5;0.008861;0.03506;0.0623;288.0;288.0;288.0;1.0;0.0;1;-30.0;30.0
760;5;0.006993;0.032869;0.0557;255.0;255.0;255.0;1.0;0.0;1;-30.0;30.0
1330;6;0.002173;0.008731;0.0152;3441.0;3441.0;3441.0;1.0;0.0;1;-30.0;30.0
1350;5;0.00077;0.003121;0.0051;9629.0;9629.0;9629.0;1.0;0.0;1;-30.0;30.0
1523;6;0.004109;0.016138;0.0284;288.0;288.0;288.0;1.0;0.0;1;-30.0;30.0
102;8;8.3e-5;0.000907;0.0202;1034.0;1034.0;1034.0;1.0;0.0;1;-30.0;30.0
316;8;0.000552;0.006726;0.0939;1786.0;1786.0;1786.0;1.0;0.0;1;-30.0;30.0
623;8;0.000512;0.008012;0.2455;2462.0;2462.0;2462.0;1.0;0.0;1;-30.0;30.0
882;8;0.001107;0.00918;0.1906;1644.0;1644.0;1644.0;1.0;0.0;1;-30.0;30.0
103;7;6.2e-5;0.000741;0.0173;1095.0;1095.0;1095.0;1.0;0.0;1;-30.0;30.0
623;8;0.000512;0.008019;0.2455;2462.0;2462.0;2462.0;1.0;0.0;1;-30.0;30.0
623;7;0.001153;0.013123;0.1841;1433.0;1433.0;1433.0;1.0;0.0;1;-30.0;30.0
113;9;0.000158;0.000672;0.0719;331.0;331.0;331.0;1.0;0.0;1;-30.0;30.0
1134;9;4.5e-5;8.9e-5;0.002;268.0;268.0;268.0;1.0;0.0;1;-30.0;30.0
346;10;0.00478;0.028622;0.0547;455.0;455.0;455.0;1.0;0.0;1;-30.0;30.0
345;10;0.00478;0.028583;0.0547;455.0;455.0;455.0;1.0;0.0;1;-30.0;30.0
106;11;0.000257;0.000514;0.0294;53862.0;53862.0;53862.0;1.0;0.0;1;-30.0;30.0
758;12;0.000257;0.002153;0.2147;452.0;452.0;452.0;1.0;0.0;1;-30.0;30.0
962;12;0.000277;0.000869;0.0931;481.0;481.0;481.0;1.0;0.0;1;-30.0;30.0
955;13;0.000237;0.00083;0.1863;268.0;268.0;268.0;1.0;0.0;1;-30.0;30.0
995;13;0.000178;0.000612;0.1377;268.0;268.0;268.0;1.0;0.0;1;-30.0;30.0
39;14;0.002568;0.011753;0.0203;424.0;424.0;424.0;1.0;0.0;1;-30.0;30.0
1428;14;0.002568;0.011615;0.0228;290.0;290.0;290.0;1.0;0.0;1;-30.0;30.0
1054;16;9.9e-5;0.00077;0.078;379.0;379.0;379.0;1.0;0.0;1;-30.0;30.0
1054;15;9.9e-5;0.00077;0.077;379.0;379.0;379.0;1.0;0.0;1;-30.0;30.0
1428;17;0.000514;0.003437;0.0061;290.0;290.0;290.0;1.0;0.0;1;-30.0;30.0
1432;17;0.005476;0.036879;0.1255;522.0;522.0;522.0;1.0;0.0;1;-30.0;30.0
39;17;0.000514;0.003457;0.0061;418.0;418.0;418.0;1.0;0.0;1;-30.0;30.0
869;18;0.003477;0.01118;0.0187;304.0;304.0;304.0;1.0;0.0;1;-30.0;30.0
1089;18;0.000612;0.003121;0.0152;270.0;270.0;270.0;1.0;0.0;1;-30.0;30.0
1164;20;2.4e-5;0.000144;0.0213;701.0;701.0;701.0;1.0;0.0;1;-30.0;30.0
1164;19;7.1e-5;0.000162;0.0162;251.0;251.0;251.0;1.0;0.0;1;-30.0;30.0
972;21;0.000257;0.001165;0.002;405.0;405.0;405.0;1.0;0.0;1;-30.0;30.0
476;22;0.005709;0.037926;0.0688;492.0;492.0;492.0;1.0;0.0;1;-30.0;30.0
1497;22;0.001758;0.011654;0.0208;492.0;492.0;492.0;1.0;0.0;1;-30.0;30.0
69;23;0.001383;0.009462;0.0172;463.0;463.0;463.0;1.0;0.0;1;-30.0;30.0
446;23;0.00156;0.006933;0.0121;432.0;432.0;432.0;1.0;0.0;1;-30.0;30.0
605;23;0.006376;0.028733;0.0506;432.0;432.0;432.0;1.0;0.0;1;-30.0;30.0
987;23;0.00158;0.010627;0.0192;481.0;481.0;481.0;1.0;0.0;1;-30.0;30.0
845;25;0.001086;0.003536;0.3766;506.0;506.0;506.0;1.0;0.0;1;-30.0;30.0
845;25;0.001086;0.003536;0.3766;506.0;506.0;506.0;1.0;0.0;1;-30.0;30.0
123;27;0.004741;0.020385;0.0334;1479.0;1479.0;1479.0;1.0;0.0;1;-30.0;30.0
1479;27;0.009027;0.048869;0.084;351.0;351.0;351.0;1.0;0.0;1;-30.0;30.0
