bus;Pg;Qg;Qmax;Qmin;Vg;mBase;status;Pmax;Pmin;c2;c1;c0
2;287.5;34.75;222.8;-153.3;1.0;100.0;1;475.0;100.0;0.01056;76.02;-2.033
11;38.5;9.6;41.5;-22.3;1.0;100.0;1;67.0;10.0;0.06306;37.1;-1.529
19;36.1;5.35;23.1;-12.4;1.0;100.0;1;37.2;35.0;0.0;0.004167;0.0
20;18.65;0.0;0.0;0.0;1.0;100.0;1;31.3;6.0;0.0;22.1;-13.77
21;4.215;0.8500000000000001;4.25;-2.55;1.0;100.0;1;7.629999999999999;0.8;0.0;18.04;-1.22
21;4.215;0.8500000000000001;4.25;-2.55;1.0;100.0;1;7.629999999999999;0.8;0.0;18.53;-1.254
21;4.215;0.8500000000000001;4.25;-2.55;1.0;100.0;1;7.629999999999999;0.8;0.0;18.85;-1.276
21;4.215;0.8500000000000001;4.25;-2.55;1.0;100.0;1;7.629999999999999;0.8;0.0;15.9;-1.076
24;17.75;0.0;5.2;-5.2;1.0;100.0;1;25.7;9.8;0.0;17.9;-17.72
25;23.5;5.0;18.0;-8.0;1.0;100.0;1;24.0;23.0;0.0;0.008333;0.0
26;19.1;3.35;14.400000000000002;-7.7;1.0;100.0;1;23.2;15.0;0.0;51.01;-3.819
26;19.1;3.35;14.400000000000002;-7.7;1.0;100.0;1;23.2;15.0;0.0;53.17;-3.98
26;19.1;3.35;14.400000000000002;-7.7;1.0;100.0;1;23.2;15.0;0.0;56.33;-4.217
29;19.6;3.1;13.5;-7.3;1.0;100.0;1;21.8;17.4;0.0;0.002174;0.0
30;13.8;3.95;14.6;-6.7;1.0;100.0;1;20.2;7.400000000000001;0.0;16.94;-10.38
31;21.85;3.6000000000000005;15.5;-8.3;1.0;100.0;1;25.0;18.7;0.0;65.64;-6.356
53;51.45000000000001;8.3;35.9;-19.3;1.0;100.0;1;57.9;45.0;0.0;22.31;-151.4
53;18.55;3.9;16.8;-9.0;1.0;100.0;1;27.1;10.0;0.0;17.16;-18.44
55;25.05;3.5000000000000004;22.3;-15.299999999999999;1.0;100.0;1;46.0;4.1;0.0;42.17;-40.34
57;9.6;2.035;8.8;-4.73;1.0;100.0;1;14.2;5.0;0.0;61.49;-1.002
57;9.6;2.035;8.8;-4.73;1.0;100.0;1;14.2;5.0;0.0;70.29;-1.145
57;9.6;2.035;8.8;-4.73;1.0;100.0;1;14.2;5.0;0.0;75.82;-1.235
62;6.665;2.3;8.27;-3.6699999999999995;1.0;100.0;1;11.0;2.33;0.0;16.55;-2.872
62;6.665;2.3;8.27;-3.6699999999999995;1.0;100.0;1;11.0;2.33;0.0;18.75;-3.254
62;6.665;2.3;8.27;-3.6699999999999995;1.0;100.0;1;11.0;2.33;0.0;16.96;-2.943
63;5.915;2.265;8.13;-3.6000000000000005;1.0;100.0;1;10.83;1.0;0.0;27.28;-1.449
63;5.915;2.265;8.13;-3.6000000000000005;1.0;100.0;1;10.83;1.0;0.0;26.28;-1.396
63;5.915;2.265;8.13;-3.6000000000000005;1.0;100.0;1;10.83;1.0;0.0;28.09;-1.493
65;4.4;0.975;4.22;-2.27;1.0;100.0;1;6.800000000000001;2.0;0.0;0.002;0.0
65;6.0;1.575;6.800000000000001;-3.65;1.0;100.0;1;11.0;1.0;0.0;32.16;-1.756
65;4.4;0.975;4.22;-2.27;1.0;100.0;1;6.800000000000001;2.0;0.0;0.002;0.0
65;4.4;0.975;4.22;-2.27;1.0;100.0;1;6.800000000000001;2.0;0.0;0.002;0.0
65;4.4;0.975;4.22;-2.27;1.0;100.0;1;6.800000000000001;2.0;0.0;0.002;0.0
65;4.4;0.975;4.22;-2.27;1.0;100.0;1;6.800000000000001;2.0;0.0;0.002;0.0
65;4.4;0.975;4.22;-2.27;1.0;100.0;1;6.800000000000001;2.0;0.0;0.002;0.0
65;9.25;1.8000000000000003;7.75;-4.15;1.0;100.0;1;12.5;6.0;0.0;17.97;-3.449
65;9.25;1.8000000000000003;7.75;-4.15;1.0;100.0;1;12.5;6.0;0.0;15.4;-2.956
65;6.0;1.575;6.800000000000001;-3.65;1.0;100.0;1;11.0;1.0;0.0;26.47;-1.445
66;21.85;5.15;18.5;-8.2;1.0;100.0;1;24.7;19.0;0.0;18.02;-17.91
68;3.865;0.0;0.0;0.0;1.0;100.0;1;7.629999999999999;0.1;0.0;15.76;0.0
68;3.865;0.0;0.0;0.0;1.0;100.0;1;7.629999999999999;0.1;0.0;19.88;-1.055
68;3.865;0.0;0.0;0.0;1.0;100.0;1;7.629999999999999;0.1;0.0;19.5;-1.035
70;17.6;1.6;10.3;-7.1;1.0;100.0;1;21.2;14.000000000000002;0.0;15.23;-10.11
73;6.425;1.2;5.75;-3.35;1.0;100.0;1;10.0;2.85;0.0;32.03;-2.15
73;6.425;1.2;5.75;-3.35;1.0;100.0;1;10.0;2.85;0.0;27.92;-1.874
76;132.2;25.7;111.20000000000002;-59.8;1.0;100.0;1;179.4;85.0;0.03722;12.0;-5.305
76;70.05;13.600000000000001;58.9;-31.7;1.0;100.0;1;95.1;45.0;0.0;20.69;-52.96
79;53.79999999999999;9.2;52.6;-34.2;1.0;100.0;1;102.60000000000001;5.0;0.04988;34.56;-1.461
91;26.25;7.8;28.1;-12.5;1.0;100.0;1;37.5;15.0;0.0;41.8;-40.87
97;16.75;3.9;17.0;-9.2;1.0;100.0;1;27.500000000000004;6.0;0.0;42.73;-17.01
101;15.15;3.65;15.7;-8.4;1.0;100.0;1;25.3;5.0;0.0;38.13;-14.56
102;17.0;1.9;12.1;-8.3;1.0;100.0;1;25.0;9.0;0.0;44.82;-18.83
102;17.0;1.9;12.1;-8.3;1.0;100.0;1;25.0;9.0;0.0;39.08;-16.42
102;19.0;2.25;14.499999999999998;-10.0;1.0;100.0;1;30.0;8.0;0.0;42.37;-21.82
112;20.0;5.25;18.8;-8.3;1.0;100.0;1;25.0;15.0;0.0;38.19;-22.0
113;12.0;0.0;9.5;-9.5;1.0;100.0;1;24.0;0.0;0.0;0.000413;0.0
114;11.0;1.5;9.7;-6.7;1.0;100.0;1;20.0;2.0;0.0;44.4;-7.374
123;37.25;4.5;28.800000000000004;-19.8;1.0;100.0;1;59.5;15.0;0.0;43.47;-81.33
126;7.400000000000001;0.0;5.6;-5.6;1.0;100.0;1;11.87;2.93;0.0;17.45;-3.746
