bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
1;1;20.6;0.0;0.0;0.0;1;1.0;0.0;63.0;1;1.06349;0.93651
2;1;20.9;17.2;0.0;0.0;1;0.98889;0.0;225.0;1;1.08889;0.88889
3;1;0.0;0.0;0.0;0.0;1;1.05131;0.0;380.0;1;1.10263;1.0
4;1;0.0;0.0;0.0;0.0;1;1.0;0.0;63.0;1;1.07937;0.92063
5;1;0.4;0.1;0.0;0.0;1;0.94444;0.0;45.0;1;1.0;0.88889
6;1;-2.3;-20.6;0.0;0.0;1;0.94444;0.0;45.0;1;1.0;0.88889
7;1;110.5;-25.5;0.0;0.0;1;1.04222;0.0;225.0;1;1.08444;1.0
8;1;44.7;1.5;0.0;0.0;1;1.01587;0.0;63.0;1;1.06349;0.96825
9;1;0.0;0.0;0.0;-21.0;1;1.0;0.0;20.0;1;1.2;0.8
10;1;0.0;0.0;0.0;0.0;1;1.00334;0.0;150.0;1;1.10667;0.9
11;1;31.7;-8.7;0.0;0.0;1;1.01111;0.0;225.0;1;1.08889;0.93333
12;1;0.0;0.0;0.0;0.0;1;1.05263;0.0;380.0;1;1.10526;1.0
13;1;0.0;0.0;0.0;0.0;1;1.04534;0.0;225.0;1;1.09067;1.0
14;1;-4.1;3.7;0.0;0.0;1;1.0;0.0;63.0;1;1.06349;0.93651
15;1;9.0;-3.3;0.0;0.0;1;1.0;0.0;63.0;1;1.06349;0.93651
16;1;120.0;6.3;0.0;0.0;1;1.01111;0.0;225.0;1;1.08889;0.93333
17;1;35.0;6.9;0.0;0.0;1;1.04445;0.0;225.0;1;1.08889;1.0
18;1;45.0;13.4;0.0;0.0;1;1.04481;0.0;225.0;1;1.08962;1.0
19;2;0.0;0.0;0.0;0.0;1;1.00362;0.0;63.0;1;1.08661;0.92063
20;1;77.3;29.1;0.0;0.0;1;1.04445;0.0;225.0;1;1.08889;1.0
21;2;48.4;4.0;0.0;0.0;1;0.98889;0.0;225.0;1;1.08889;0.88889
22;1;4.6;-11.4;0.0;0.0;1;1.0045;0.0;63.0;1;1.07249;0.93651
23;1;33.3;-5.7;0.0;0.0;1;1.0;0.0;63.0;1;1.06349;0.93651
24;1;0.0;0.0;0.0;0.0;1;1.04445;0.0;225.0;1;1.08889;1.0
25;1;18.0;5.6;0.0;0.0;1;0.98889;0.0;225.0;1;1.08889;0.88889
26;1;1.0;-8.0;0.0;0.0;1;1.04158;0.0;225.0;1;1.09649;0.98667
27;1;22.0;-5.6;0.0;0.0;1;1.0;0.0;63.0;1;1.06349;0.93651
28;1;-2.1;-0.1;0.0;0.0;1;1.04445;0.0;225.0;1;1.08889;1.0
29;1;7.1;-2.6;0.0;0.0;1;1.0;0.0;63.0;1;1.06349;0.93651
30;1;3.5;-40.0;0.0;0.0;1;1.04445;0.0;225.0;1;1.08889;1.0
31;2;7.7;-1.8;0.0;0.0;1;1.00431;0.0;63.0;1;1.07211;0.93651
32;1;12.1;2.1;0.0;0.0;1;1.0;0.0;63.0;1;1.06349;0.93651
33;1;2.4;-0.4;0.0;0.0;1;0.94444;0.0;45.0;1;1.0;0.88889
34;1;0.0;0.0;0.0;0.0;1;0.94444;0.0;45.0;1;1.0;0.88889
35;1;26.0;0.1;0.0;0.0;1;1.01587;0.0;63.0;1;1.06349;0.96825
36;1;0.7;-4.1;0.0;0.0;1;0.94444;0.0;45.0;1;1.0;0.88889
37;1;9.3;-5.3;0.0;0.0;1;1.0;0.0;63.0;1;1.06349;0.93651
39;1;78.4;-4.8;0.0;0.0;1;1.038;0.0;225.0;1;1.08934;0.98667
40;1;25.1;-3.3;0.0;0.0;1;0.98889;0.0;225.0;1;1.08889;0.88889
41;1;80.4;7.4;0.0;0.0;1;1.04222;0.0;225.0;1;1.08444;1.0
42;1;37.8;2.9;0.0;0.0;1;1.0001;0.0;63.0;1;1.0637;0.93651
43;1;0.0;0.0;0.0;0.0;1;1.01111;0.0;225.0;1;1.08889;0.93333
44;1;29.0;-10.0;0.0;0.0;1;1.01587;0.0;63.0;1;1.06349;0.96825
45;1;97.4;-3.0;0.0;0.0;1;1.04445;0.0;225.0;1;1.08889;1.0
46;1;0.0;0.0;0.0;0.0;1;1.05263;0.0;380.0;1;1.10526;1.0
47;1;21.3;-2.6;0.0;0.0;1;1.00128;0.0;63.0;1;1.06606;0.93651
48;1;-0.3;0.8;0.0;0.0;1;1.00193;0.0;63.0;1;1.06735;0.93651
49;1;11.6;3.2;0.0;0.0;1;1.01587;0.0;63.0;1;1.06349;0.96825
50;1;0.0;0.0;0.0;0.0;1;1.04222;0.0;225.0;1;1.08444;1.0
51;1;66.6;0.0;0.0;0.0;1;1.04222;0.0;225.0;1;1.08444;1.0
52;1;0.0;0.0;0.0;0.0;1;1.04445;0.0;225.0;1;1.08889;1.0
53;2;7.9;-4.7;0.0;0.0;1;1.01587;0.0;63.0;1;1.06349;0.96825
54;1;0.0;0.0;0.0;0.0;1;1.02333;0.0;150.0;1;1.08;0.96667
55;1;40.5;8.5;0.0;0.0;1;1.0473;0.0;225.0;1;1.09459;1.0
56;1;0.0;0.0;0.0;0.0;1;1.05263;0.0;380.0;1;1.10526;1.0
57;1;80.2;-7.7;0.0;0.0;1;1.03778;0.0;225.0;1;1.08889;0.98667
58;1;0.0;0.0;0.0;-64.0;1;1.0;0.0;20.0;1;1.2;0.8
59;1;35.3;-9.2;0.0;0.0;1;1.02889;0.0;225.0;1;1.08889;0.96889
60;1;58.9;2.6;0.0;0.0;1;1.05263;0.0;380.0;1;1.10526;1.0
61;1;5.5;1.7;0.0;0.0;1;1.0;0.0;63.0;1;1.06349;0.93651
62;1;0.6;0.7;0.0;0.0;1;1.01587;0.0;63.0;1;1.06349;0.96825
63;1;28.6;4.1;0.0;0.0;1;1.01587;0.0;63.0;1;1.06349;0.96825
64;1;39.6;9.4;0.0;0.0;1;1.01111;0.0;225.0;1;1.08889;0.93333
65;1;0.0;0.0;0.0;0.0;1;1.01587;0.0;63.0;1;1.06349;0.96825
66;1;12.5;-6.5;0.0;0.0;1;0.94444;0.0;45.0;1;1.0;0.88889
67;1;0.4;3.2;0.0;0.0;1;0.98889;0.0;225.0;1;1.08889;0.88889
68;1;4.2;-2.2;0.0;0.0;1;1.0;0.0;20.0;1;1.2;0.8
69;1;139.3;4.7;0.0;0.0;1;1.04343;0.0;225.0;1;1.08685;1.0
70;1;83.7;-8.3;0.0;0.0;1;1.04445;0.0;225.0;1;1.08889;1.0
71;2;0.0;0.0;0.0;0.0;1;1.00442;0.0;150.0;1;1.10885;0.9
72;1;0.0;0.0;0.0;0.0;1;1.04445;0.0;225.0;1;1.08889;1.0
74;1;0.0;0.0;0.0;-80.0;1;1.04445;0.0;225.0;1;1.08889;1.0
75;1;15.2;5.4;0.0;0.0;1;1.0;0.0;63.0;1;1.06349;0.93651
76;2;0.0;0.0;0.0;0.0;1;0.94444;0.0;45.0;1;1.0;0.88889
77;2;5.7;-1.3;0.0;0.0;1;1.00272;0.0;63.0;1;1.08481;0.92063
78;1;7.8;5.8;0.0;0.0;1;1.04445;0.0;225.0;1;1.08889;1.0
79;1;14.0;-4.6;0.0;0.0;1;1.0;0.0;63.0;1;1.07937;0.92063
80;1;7.1;-2.3;0.0;0.0;1;1.00404;0.0;63.0;1;1.08744;0.92063
81;1;0.0;0.0;0.0;0.0;1;1.04445;0.0;225.0;1;1.08889;1.0
82;1;59.6;24.0;0.0;0.0;1;0.98889;0.0;225.0;1;1.08889;0.88889
83;1;27.8;-7.5;0.0;0.0;1;1.01544;0.0;63.0;1;1.06349;0.9674
84;1;61.1;-4.5;0.0;0.0;1;1.02889;0.0;225.0;1;1.08889;0.96889
85;1;0.0;0.0;0.0;0.0;1;1.05263;0.0;380.0;1;1.10526;1.0
86;1;31.8;1.0;0.0;0.0;1;1.01587;0.0;63.0;1;1.06349;0.96825
87;1;22.8;-0.9;0.0;0.0;1;1.01587;0.0;63.0;1;1.06349;0.96825
88;1;2.1;0.8;0.0;0.0;1;1.01587;0.0;63.0;1;1.06349;0.96825
89;1;30.5;6.3;0.0;0.0;1;1.01587;0.0;63.0;1;1.06349;0.96825
90;1;0.0;0.0;0.0;0.0;1;1.04222;0.0;225.0;1;1.08444;1.0
91;1;89.3;-15.7;0.0;0.0;1;1.04445;0.0;225.0;1;1.08889;1.0
92;1;6.4;-11.6;0.0;0.0;1;1.01187;0.0;225.0;1;1.09041;0.93333
93;2;0.0;0.0;0.0;0.0;1;1.00453;0.0;150.0;1;1.10907;0.9
94;1;37.7;57.2;0.0;0.0;1;1.04222;0.0;225.0;1;1.08444;1.0
95;1;0.0;0.0;0.0;0.0;1;1.03333;0.0;225.0;1;1.08889;0.97778
96;1;9.0;0.8;0.0;0.0;1;0.98889;0.0;225.0;1;1.08889;0.88889
97;1;35.8;4.5;0.0;0.0;1;1.01587;0.0;63.0;1;1.06349;0.96825
98;1;16.5;-8.7;0.0;0.0;1;1.01111;0.0;225.0;1;1.08889;0.93333
99;1;28.6;5.0;0.0;0.0;1;1.04445;0.0;225.0;1;1.08889;1.0
100;1;7.3;-5.1;0.0;0.0;1;1.04445;0.0;225.0;1;1.08889;1.0
101;1;6.4;2.5;0.0;0.0;1;1.03778;0.0;225.0;1;1.08889;0.98667
